,label_files,lidar_files
0,/media/sdb1/dettrain_20220711/filtered_south_gate_3Dec2020/Label/2020_12_03=00_17_55_282_dir/2020_12_03=00_22_36_182.bin.json,/media/sdb1/zoe/FYP/train_files/2020_12_03=00_22_36_182.bin
1,/media/sdb1/dettrain_20220711/filtered_south_gate_3Dec2020/Label/2020_12_03=00_17_55_282_dir/2020_12_03=00_22_37_181.bin.json,/media/sdb1/zoe/FYP/train_files/2020_12_03=00_22_37_181.bin
2,/media/sdb1/dettrain_20220711/filtered_south_gate_3Dec2020/Label/2020_12_03=00_17_55_282_dir/2020_12_03=00_22_38_181.bin.json,/media/sdb1/zoe/FYP/train_files/2020_12_03=00_22_38_181.bin
3,/media/sdb1/dettrain_20220711/filtered_south_gate_3Dec2020/Label/2020_12_03=00_17_55_282_dir/2020_12_03=00_22_39_181.bin.json,/media/sdb1/zoe/FYP/train_files/2020_12_03=00_22_39_181.bin
4,/media/sdb1/dettrain_20220711/filtered_south_gate_3Dec2020/Label/2020_12_03=00_22_56_82_dir/2020_12_03=00_24_16_281.bin.json,/media/sdb1/zoe/FYP/train_files/2020_12_03=00_24_16_281.bin
5,/media/sdb1/dettrain_20220711/filtered_south_gate_3Dec2020/Label/2020_12_03=00_22_56_82_dir/2020_12_03=00_24_17_280.bin.json,/media/sdb1/zoe/FYP/train_files/2020_12_03=00_24_17_280.bin
6,/media/sdb1/dettrain_20220711/filtered_south_gate_3Dec2020/Label/2020_12_03=00_22_56_82_dir/2020_12_03=00_24_18_280.bin.json,/media/sdb1/zoe/FYP/train_files/2020_12_03=00_24_18_280.bin
7,/media/sdb1/dettrain_20220711/filtered_south_gate_3Dec2020/Label/2020_12_03=00_22_56_82_dir/2020_12_03=00_24_19_279.bin.json,/media/sdb1/zoe/FYP/train_files/2020_12_03=00_24_19_279.bin
8,/media/sdb1/dettrain_20220711/filtered_south_gate_3Dec2020/Label/2020_12_03=08_03_38_492_dir/2020_12_03=08_05_21_592.bin.json,/media/sdb1/zoe/FYP/train_files/2020_12_03=08_05_21_592.bin
9,/media/sdb1/dettrain_20220711/filtered_south_gate_3Dec2020/Label/2020_12_03=08_03_38_492_dir/2020_12_03=08_05_27_592.bin.json,/media/sdb1/zoe/FYP/train_files/2020_12_03=08_05_27_592.bin
10,/media/sdb1/dettrain_20220711/filtered_south_gate_3Dec2020/Label/2020_12_03=08_23_50_398_dir/2020_12_03=08_25_40_297.bin.json,/media/sdb1/zoe/FYP/train_files/2020_12_03=08_25_40_297.bin
11,/media/sdb1/dettrain_20220711/filtered_south_gate_3Dec2020/Label/2020_12_03=08_23_50_398_dir/2020_12_03=08_25_41_297.bin.json,/media/sdb1/zoe/FYP/train_files/2020_12_03=08_25_41_297.bin
12,/media/sdb1/dettrain_20220711/filtered_south_gate_3Dec2020/Label/2020_12_03=08_23_50_398_dir/2020_12_03=08_25_42_298.bin.json,/media/sdb1/zoe/FYP/train_files/2020_12_03=08_25_42_298.bin
13,/media/sdb1/dettrain_20220711/filtered_south_gate_3Dec2020/Label/2020_12_03=08_23_50_398_dir/2020_12_03=08_25_43_298.bin.json,/media/sdb1/zoe/FYP/train_files/2020_12_03=08_25_43_298.bin
14,/media/sdb1/dettrain_20220711/filtered_south_gate_3Dec2020/Label/2020_12_03=08_23_50_398_dir/2020_12_03=08_25_44_298.bin.json,/media/sdb1/zoe/FYP/train_files/2020_12_03=08_25_44_298.bin
15,/media/sdb1/dettrain_20220711/filtered_south_gate_3Dec2020/Label/2020_12_03=08_23_50_398_dir/2020_12_03=08_25_45_298.bin.json,/media/sdb1/zoe/FYP/train_files/2020_12_03=08_25_45_298.bin
16,/media/sdb1/dettrain_20220711/filtered_south_gate_3Dec2020/Label/2020_12_03=08_23_50_398_dir/2020_12_03=08_25_46_298.bin.json,/media/sdb1/zoe/FYP/train_files/2020_12_03=08_25_46_298.bin
17,/media/sdb1/dettrain_20220711/filtered_south_gate_3Dec2020/Label/2020_12_03=08_23_50_398_dir/2020_12_03=08_25_47_298.bin.json,/media/sdb1/zoe/FYP/train_files/2020_12_03=08_25_47_298.bin
18,/media/sdb1/dettrain_20220711/filtered_south_gate_3Dec2020/Label/2020_12_03=08_23_50_398_dir/2020_12_03=08_25_48_298.bin.json,/media/sdb1/zoe/FYP/train_files/2020_12_03=08_25_48_298.bin
19,/media/sdb1/dettrain_20220711/filtered_south_gate_3Dec2020/Label/2020_12_03=08_23_50_398_dir/2020_12_03=08_25_49_298.bin.json,/media/sdb1/zoe/FYP/train_files/2020_12_03=08_25_49_298.bin
20,/media/sdb1/dettrain_20220711/filtered_south_gate_3Dec2020/Label/2020_12_03=08_23_50_398_dir/2020_12_03=08_25_50_298.bin.json,/media/sdb1/zoe/FYP/train_files/2020_12_03=08_25_50_298.bin
21,/media/sdb1/dettrain_20220711/filtered_south_gate_3Dec2020/Label/2020_12_03=08_23_50_398_dir/2020_12_03=08_25_51_297.bin.json,/media/sdb1/zoe/FYP/train_files/2020_12_03=08_25_51_297.bin
22,/media/sdb1/dettrain_20220711/filtered_south_gate_3Dec2020/Label/2020_12_03=08_23_50_398_dir/2020_12_03=08_25_52_298.bin.json,/media/sdb1/zoe/FYP/train_files/2020_12_03=08_25_52_298.bin
23,/media/sdb1/dettrain_20220711/filtered_south_gate_3Dec2020/Label/2020_12_03=08_23_50_398_dir/2020_12_03=08_25_57_298.bin.json,/media/sdb1/zoe/FYP/train_files/2020_12_03=08_25_57_298.bin
24,/media/sdb1/dettrain_20220711/filtered_south_gate_3Dec2020/Label/2020_12_03=08_23_50_398_dir/2020_12_03=08_25_58_297.bin.json,/media/sdb1/zoe/FYP/train_files/2020_12_03=08_25_58_297.bin
25,/media/sdb1/dettrain_20220711/filtered_south_gate_3Dec2020/Label/2020_12_03=08_23_50_398_dir/2020_12_03=08_25_59_298.bin.json,/media/sdb1/zoe/FYP/train_files/2020_12_03=08_25_59_298.bin
26,/media/sdb1/dettrain_20220711/filtered_south_gate_3Dec2020/Label/2020_12_03=08_23_50_398_dir/2020_12_03=08_26_00_298.bin.json,/media/sdb1/zoe/FYP/train_files/2020_12_03=08_26_00_298.bin
27,/media/sdb1/dettrain_20220711/filtered_south_gate_3Dec2020/Label/2020_12_03=08_23_50_398_dir/2020_12_03=08_26_01_298.bin.json,/media/sdb1/zoe/FYP/train_files/2020_12_03=08_26_01_298.bin
28,/media/sdb1/dettrain_20220711/filtered_south_gate_3Dec2020/Label/2020_12_03=08_23_50_398_dir/2020_12_03=08_26_07_298.bin.json,/media/sdb1/zoe/FYP/train_files/2020_12_03=08_26_07_298.bin
29,/media/sdb1/dettrain_20220711/filtered_south_gate_3Dec2020/Label/2020_12_03=08_28_59_198_dir/2020_12_03=08_31_24_299.bin.json,/media/sdb1/zoe/FYP/train_files/2020_12_03=08_31_24_299.bin
30,/media/sdb1/dettrain_20220711/renamed_SouthGateTestScene4/Label_20221008/2021_08_23=16_00_06_799/2021_08_23=16_02_46_496.bin.json,/media/sdb1/zoe/FYP/train_files/2021_08_23=16_02_46_496.bin
31,/media/sdb1/dettrain_20220711/renamed_SouthGateTestScene4/Label_20221008/2021_08_23=16_00_06_799/2021_08_23=16_02_46_696.bin.json,/media/sdb1/zoe/FYP/train_files/2021_08_23=16_02_46_696.bin
32,/media/sdb1/dettrain_20220711/renamed_SouthGateTestScene4/Label_20221008/2021_08_23=16_00_06_799/2021_08_23=16_02_46_896.bin.json,/media/sdb1/zoe/FYP/train_files/2021_08_23=16_02_46_896.bin
33,/media/sdb1/dettrain_20220711/renamed_SouthGateTestScene4/Label_20221008/2021_08_23=16_00_06_799/2021_08_23=16_02_47_095.bin.json,/media/sdb1/zoe/FYP/train_files/2021_08_23=16_02_47_095.bin
34,/media/sdb1/dettrain_20220711/renamed_SouthGateTestScene4/Label_20221008/2021_08_23=16_00_06_799/2021_08_23=16_02_47_296.bin.json,/media/sdb1/zoe/FYP/train_files/2021_08_23=16_02_47_296.bin
